clubId,呼称,年,所属,順位,勝ち点,一試合あたり平均勝ち点,営業収入,営業費用,チーム人件費,移籍関連費用,国外クラブからの移籍に関する費用,国内クラブからの移籍に関する費用
vegalta,ベガルタ仙台,2023,J2,16,48,1.1429,2520,2434,1044,,,
blaublitz,ブラウブリッツ秋田,2023,J2,13,51,1.2143,904,922,265,,,
montedio,モンテディオ山形,2023,J2,5,67,1.5952,2500,2445,839,,,
iwakifc,いわきFC,2023,J2,18,47,1.119,1077,1079,282,,,
mitohollyhock,水戸ホーリーホック,2023,J2,17,47,1.119,1104,1099,346,,,
tochigisc,栃木SC,2023,J2,19,44,1.0476,1088,1132,316,,,
thespa,ザスパ群馬,2023,J2,11,57,1.3571,790,831,330,,,
ardija,大宮アルディージャ,2023,J2,21,39,0.9286,2788,2656,792,,,
jefunited,ジェフユナイテッド千葉,2023,J2,6,67,1.5952,2649,2677,873,,,
verdy,東京ヴェルディ,2023,J2,3,75,1.7857,2818,2801,778,,,
zelvia,FC町田ゼルビア,2023,J2,1,87,2.0714,3409,3403,1806,,,
ventforet,ヴァンフォーレ甲府,2023,J2,8,64,1.5238,2040,2039,748,,,
zweigen,ツエーゲン金沢,2023,J2,22,35,0.8333,871,972,359,,,
shimizu,清水エスパルス,2023,J2,4,74,1.7619,5101,5040,2246,,,
jubilo,ジュビロ磐田,2023,J2,2,75,1.7857,4254,3734,1413,,,
myfc,藤枝MYFC,2023,J2,12,52,1.2381,805,696,265,,,
fagiano,ファジアーノ岡山,2023,J2,10,58,1.381,1937,2009,715,,,
renofa,レノファ山口FC,2023,J2,20,44,1.0476,1098,1085,406,,,
vortis,徳島ヴォルティス,2023,J2,15,49,1.1667,2092,2089,984,,,
vvaren,V・ファーレン長崎,2023,J2,7,65,1.5476,2111,3574,1799,,,
roasso,ロアッソ熊本,2023,J2,14,49,1.1667,1228,1093,326,,,
trinita,大分トリニータ,2023,J2,9,62,1.4762,1861,1813,801,,,
vegalta,ベガルタ仙台,2024,J2,6,64,1.6842,2500,2376,734,141,141,0
blaublitz,ブラウブリッツ秋田,2024,J2,10,54,1.4211,1007,1089,296,3,0,3
montedio,モンテディオ山形,2024,J2,4,66,1.7368,2612,2584,725,128,0,128
iwakifc,いわきFC,2024,J2,9,54,1.4211,1408,1418,367,6,1,5
mitohollyhock,水戸ホーリーホック,2024,J2,15,44,1.1579,1224,1224,372,14,0,14
tochigisc,栃木SC,2024,J2,18,34,0.8947,1199,1195,339,4,0,4
thespa,ザスパ群馬,2024,J2,20,18,0.4737,1007,1094,326,21,0,21
jefunited,ジェフユナイテッド千葉,2024,J2,7,61,1.6053,3197,3155,889,241,161,80
yokohamafc,横浜FC,2024,J2,2,76,2,3314,3438,1407,211,100,111
ventforet,ヴァンフォーレ甲府,2024,J2,14,45,1.1842,1748,1747,476,142,15,127
shimizu,清水エスパルス,2024,J2,1,82,2.1579,5003,4935,2157,396,0,396
myfc,藤枝MYFC,2024,J2,13,46,1.2105,907,936,270,16,0,15
fagiano,ファジアーノ岡山,2024,J2,5,65,1.7105,2036,2144,668,74,7,67
renofa,レノファ山口FC,2024,J2,11,53,1.3947,1251,1280,447,8,0,8
vortis,徳島ヴォルティス,2024,J2,8,55,1.4474,2731,2540,1010,274,112,161
ehimefc,愛媛FC,2024,J2,17,40,1.0526,1119,1058,316,9,2,7
vvaren,V・ファーレン長崎,2024,J2,3,75,1.9737,2352,3577,1519,80,0,80
roasso,ロアッソ熊本,2024,J2,12,46,1.2105,1133,1004,273,0,0,0
trinita,大分トリニータ,2024,J2,16,43,1.1316,1819,1740,548,99,30,69
kufc,鹿児島ユナイテッドFC,2024,J2,19,30,0.7895,1130,1156,342,16,0,16